cell_position,x,y,number_of_cells,proportion_of_cell,mean_wind_speed,year,ID,cluster_id
2904,4465000,3095000,1,0.00567,19.112897872924805,1,29,13
2834,4415000,3105000,2,0.015435,18.638526916503903,1,30,13
2504,4365000,3155000,1,0.005706,18.391075134277344,1,44,13
2836,4435000,3105000,2,5.13e-4,20.879077911376953,2,71,13
2765,4375000,3115000,3,0.017442,19.15210723876953,2,93,13
2245,4375000,3195000,3,0.00333,19.95599937438965,2,112,13
3591,4185000,2985000,1,0.112581,19.43161964416504,2,130,13
2587,4545000,3145000,2,0.001044,16.79989242553711,2,146,13
2899,4415000,3095000,1,0.027108,20.151620864868164,2,151,13
4887,4145000,2785000,1,0.011268,17.7803955078125,2,187,13
2909,4515000,3095000,1,0.036648,18.92510032653809,3,232,13
2894,4365000,3095000,11,0.021159,20.51677703857422,3,241,13
2848,4555000,3105000,2,3.33e-4,18.586647033691406,3,259,13
2707,4445000,3125000,76,0.003429,20.98242950439453,4,269,13
5147,4145000,2745000,4,0.039906,19.995670318603516,4,279,13
3654,4165000,2975000,9,2.16e-4,18.57541275024414,5,315,13
2052,4395000,3225000,2,6.39e-4,20.757678985595703,5,319,13
2832,4395000,3105000,1,0.04788,20.31881523132324,5,342,13
2722,4595000,3125000,1,0.028503,21.639854431152344,6,358,13
2895,4375000,3095000,1,2.7e-4,20.435346603393555,6,367,13
3402,4245000,3015000,1,0.001998,19.84022521972656,6,370,13
5277,4145000,2725000,1,0.005706,22.563446044921875,6,385,13
2788,4605000,3115000,4,0.010107,19.217126846313477,6,393,13
2908,4505000,3095000,1,0.06705,20.908784866333008,6,398,13
2659,4615000,3135000,2,1.08e-4,19.633970260620117,6,404,13
2783,4555000,3115000,1,0.011097,19.374595642089844,6,423,13
4371,4185000,2865000,1,0.008289,19.208587646484375,6,442,13
4694,4165000,2815000,2,0.014643,20.089160919189453,7,459,13
4501,4185000,2845000,1,0.002556,20.71991539001465,7,465,13
2570,4375000,3145000,43,0.004527,20.517179489135746,7,501,13
2720,4575000,3125000,1,1.44e-4,19.074363708496097,7,516,13
2839,4465000,3105000,1,3.78e-4,19.081178665161133,7,519,13
5017,4145000,2765000,1,0.029142,20.679031372070312,7,520,13
3658,4205000,2975000,1,0.009081,19.992443084716797,7,533,13
2116,4385000,3215000,1,0.059553,18.93282890319824,7,538,13
3659,4215000,2975000,1,0.037737,20.71196937561035,8,585,13
3659,4215000,2975000,16,0.022185,19.651809692382812,9,606,13
3985,4225000,2925000,6,0.006192,21.14435386657715,9,614,13
3718,4155000,2965000,5,1.08e-4,19.444190979003903,9,627,13
3788,4205000,2955000,1,0.002268,18.65349769592285,9,639,13
3593,4205000,2985000,1,0.001026,19.38886833190918,9,640,13
3787,4195000,2955000,2,9.72e-4,18.27789306640625,9,647,13
4823,4155000,2795000,1,0.01539,19.48835563659668,9,654,13
2836,4435000,3105000,1,0.011421,19.39511489868164,9,683,13
2638,4405000,3135000,2,0.064251,18.735248565673828,9,692,13
2726,4635000,3125000,3,4.14e-4,21.847225189208984,9,696,13
4179,4215000,2895000,1,1.53e-4,18.8896541595459,9,700,13
2700,4375000,3125000,1,0.003807,20.983930587768555,10,718,13
2717,4545000,3125000,1,0.006129,18.439180374145508,10,728,13
4307,4195000,2875000,2,0.00108,19.99693298339844,11,757,13
2832,4395000,3105000,1,0.004797,21.53011703491211,11,760,13
2841,4485000,3105000,2,0.010377,17.613388061523438,11,771,13
2115,4375000,3215000,1,2.61e-4,20.579448699951172,11,773,13
2714,4515000,3125000,2,0.002178,18.437280654907227,11,782,13
3531,4235000,2995000,3,0.001152,18.177021026611328,11,787,13
4371,4185000,2865000,2,4.23e-4,18.453617095947266,11,801,13
3722,4195000,2965000,8,0.029583,18.628747940063477,11,806,13
2716,4535000,3125000,3,0.001305,19.61191177368164,12,848,13
3786,4185000,2955000,2,0.042831,20.784570693969727,12,869,13
2848,4555000,3105000,1,0.002124,19.76241874694824,12,885,13
2574,4415000,3145000,1,0.064251,19.112897872924805,12,889,13
3034,4465000,3075000,1,9.27e-4,18.722524642944336,13,905,13
2765,4375000,3115000,1,0.020556,21.777042388916016,13,913,13
4694,4165000,2815000,1,0.003681,18.86032485961914,13,945,13
5211,4135000,2735000,1,1.89e-4,19.457921981811523,13,1003,13
3035,4475000,3075000,3,0.00225,19.34139060974121,13,1004,13
4113,4205000,2905000,1,0.008514,20.45188331604004,13,1018,13
2770,4425000,3115000,2,2.07e-4,19.931955337524418,14,1023,13
3400,4225000,3015000,1,7.11e-4,19.51731300354004,14,1026,13
2768,4405000,3115000,1,0.003825,19.806106567382812,14,1057,13
4953,4155000,2775000,2,0.01071,21.31586265563965,14,1059,13
