id,x,y,model.site.soilDepth,model.site.pctSand,model.site.pctClay,model.site.pctSilt,model.site.availableNitrogen,model.climate.tableName
1,0,0,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
2,2,0,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
3,4,0,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
4,6,0,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
5,8,0,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
6,10,0,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
7,12,0,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
8,14,0,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
9,16,0,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
10,18,0,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
11,20,0,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
12,22,0,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
13,24,0,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
14,26,0,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
15,28,0,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
16,30,0,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
17,32,0,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
18,34,0,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
19,36,0,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
20,38,0,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
21,0,2,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
22,2,2,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
23,4,2,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
24,6,2,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
25,8,2,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
26,10,2,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
27,12,2,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
28,14,2,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
29,16,2,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
30,18,2,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
31,20,2,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
32,22,2,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
33,24,2,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
34,26,2,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
35,28,2,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
36,30,2,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
37,32,2,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
38,34,2,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
39,36,2,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
40,38,2,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
41,0,4,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
42,2,4,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
43,4,4,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
44,6,4,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
45,8,4,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
46,10,4,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
47,12,4,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
48,14,4,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
49,16,4,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
50,18,4,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
51,20,4,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
52,22,4,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
53,24,4,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
54,26,4,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
55,28,4,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
56,30,4,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
57,32,4,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
58,34,4,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
59,36,4,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
60,38,4,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
61,0,6,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
62,2,6,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
63,4,6,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
64,6,6,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
65,8,6,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
66,10,6,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
67,12,6,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
68,14,6,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
69,16,6,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
70,18,6,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
71,20,6,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
72,22,6,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
73,24,6,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
74,26,6,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
75,28,6,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
76,30,6,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
77,32,6,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
78,34,6,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
79,36,6,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
80,38,6,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
81,0,8,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
82,2,8,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
83,4,8,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
84,6,8,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
85,8,8,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
86,10,8,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
87,12,8,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
88,14,8,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
89,16,8,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
90,18,8,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
91,20,8,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
92,22,8,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
93,24,8,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
94,26,8,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
95,28,8,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
96,30,8,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
97,32,8,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
98,34,8,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
99,36,8,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
100,38,8,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
101,0,10,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
102,2,10,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
103,4,10,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
104,6,10,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
105,8,10,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
106,10,10,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
107,12,10,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
108,14,10,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
109,16,10,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
110,18,10,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
111,20,10,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
112,22,10,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
113,24,10,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
114,26,10,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
115,28,10,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
116,30,10,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
117,32,10,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
118,34,10,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
119,36,10,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
120,38,10,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
121,0,12,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
122,2,12,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
123,4,12,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
124,6,12,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
125,8,12,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
126,10,12,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
127,12,12,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
128,14,12,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
129,16,12,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
130,18,12,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
131,20,12,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
132,22,12,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
133,24,12,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
134,26,12,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
135,28,12,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
136,30,12,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
137,32,12,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
138,34,12,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
139,36,12,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
140,38,12,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
141,0,14,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
142,2,14,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
143,4,14,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
144,6,14,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
145,8,14,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
146,10,14,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
147,12,14,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
148,14,14,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
149,16,14,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
150,18,14,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
151,20,14,120,30,24,46,65,ICHEC-EC-EARTH_historical_point37179
