stand_id,species,count,height,bwi_plot_id
100001,frex,3183.0989,1.5,1000/1
100001,piab,795.77472,2.0,1000/1
100001,quro,795.77472,1.0,1000/1
100001,quro,795.77472,1.0,1000/1
100203,soau,795.77472,1.5,1002/3
100203,acca,1591.5494,1.5,1002/3
100501,acps,1591.5494,0.4,1005/1
100504,acps,795.77472,0.4,1005/4
100504,acps,795.77472,0.4,1005/4
100604,saca,795.77472,1.0,1006/4
100902,frex,12732.396,1.0,1009/2
100902,frex,7161.9727,1.5,1009/2
100902,ulgl,795.77472,1.5,1009/2
100902,frex,1591.5494,1.0,1009/2
100902,ulgl,795.77472,0.4,1009/2
100902,frex,795.77472,0.4,1009/2
100902,piab,795.77472,1.5,1009/2
100902,frex,1591.5494,0.4,1009/2
100902,ulgl,795.77472,2.0,1009/2
100903,piab,795.77472,0.4,1009/3
100903,abal,795.77472,0.4,1009/3
100903,frex,795.77472,1.5,1009/3
100903,acps,795.77472,1.5,1009/3
100903,abal,795.77472,1.5,1009/3
100903,piab,795.77472,1.0,1009/3
100904,abal,795.77472,2.0,1009/4
101002,acps,795.77472,0.4,1010/2
101002,acps,795.77472,0.4,1010/2
101002,psme,795.77472,0.4,1010/2
101002,frex,2387.3242,1.0,1010/2
101002,acps,5570.4229,1.0,1010/2
101002,acps,3183.0989,1.0,1010/2
101002,lade,1591.5494,1.0,1010/2
101003,piab,795.77472,1.5,1010/3
101003,piab,1591.5494,1.0,1010/3
101003,frex,795.77472,1.5,1010/3
101904,piab,6366.1978,1.5,1019/4
101904,soau,3183.0989,1.5,1019/4
102001,pimu,795.77472,1.5,1020/1
102001,piab,2387.3242,0.4,1020/1
102002,pimu,795.77472,1.5,1020/2
102002,pimu,795.77472,1.5,1020/2
102002,piab,795.77472,1.0,1020/2
102003,pimu,795.77472,1.5,1020/3
102003,piab,2387.3242,0.4,1020/3
102004,pimu,3978.8735,1.5,1020/4
102102,acps,19098.594,1.5,1021/2
102102,fasy,6366.1973,0.4,1021/2
102102,fasy,6366.1973,0.4,1021/2
102102,acps,12732.395,0.4,1021/2
102102,acps,6366.1973,0.4,1021/2
102102,fasy,3183.0989,1.5,1021/2
102102,acps,13528.17,1.0,1021/2
102102,fasy,3978.8735,1.0,1021/2
102102,acps,2387.3242,1.0,1021/2
102102,acps,3183.0989,1.0,1021/2
102102,acps,2387.3242,1.5,1021/2
102102,acps,5570.4229,1.5,1021/2
102102,fasy,2387.3242,1.0,1021/2
102104,fasy,795.77472,0.4,1021/4
102104,soau,795.77472,0.4,1021/4
102204,piab,9549.2969,0.4,1022/4
106001,fasy,1591.5494,0.4,1060/1
106001,frex,1591.5494,1.0,1060/1
106001,fasy,795.77472,1.0,1060/1
106001,ulgl,10345.071,1.0,1060/1
106001,ulgl,6366.1978,0.4,1060/1
106002,acca,2387.3242,1.0,1060/2
106002,acca,2387.3242,0.4,1060/2
106002,acca,3183.0989,0.4,1060/2
106002,frex,3978.8735,1.5,1060/2
106002,cabe,2387.3242,1.5,1060/2
106002,frex,795.77472,2.0,1060/2
106002,acca,795.77472,1.5,1060/2
106101,acps,795.77472,1.5,1061/1
106101,piab,795.77472,0.4,1061/1
106101,piab,795.77472,3.0,1061/1
106101,bepe,795.77472,3.0,1061/1
106101,bepe,2387.3242,1.5,1061/1
106101,fasy,795.77472,1.5,1061/1
106101,piab,795.77472,1.0,1061/1
106101,piab,1591.5494,2.0,1061/1
106101,piab,19894.367,1.5,1061/1
106102,acps,795.77472,0.4,1061/2
106102,cabe,2387.3242,0.4,1061/2
106102,fasy,795.77472,1.5,1061/2
106102,fasy,795.77472,1.0,1061/2
106103,fasy,3183.0989,0.4,1061/3
106103,acps,795.77472,0.4,1061/3
106103,fasy,2387.3242,1.0,1061/3
106103,fasy,795.77472,1.5,1061/3
106302,frex,795.77472,3.0,1063/2
106302,acps,795.77472,1.0,1063/2
106302,cabe,795.77472,1.0,1063/2
106302,cabe,795.77472,1.5,1063/2
106302,frex,1591.5494,1.5,1063/2
106302,acps,3183.0989,1.5,1063/2
107102,fasy,9549.2969,1.5,1071/2
107102,frex,795.77472,1.0,1071/2
107102,fasy,1591.5494,1.0,1071/2
107102,fasy,795.77472,2.0,1071/2
107102,cabe,795.77472,0.4,1071/2
107103,psme,795.77472,1.5,1071/3
107103,fasy,3978.8735,0.4,1071/3
107103,fasy,2387.3242,0.4,1071/3
107103,cabe,3978.8735,0.4,1071/3
107103,fasy,6366.1978,1.0,1071/3
107103,fasy,25464.791,1.5,1071/3
107103,cabe,795.77472,1.0,1071/3
107103,fasy,1591.5494,1.0,1071/3
107201,ulgl,795.77472,0.4,1072/1
107201,ulgl,795.77472,1.0,1072/1
