stand_id,species,count,dbh_from,dbh_to,hd,age,bwi_plot_id,layer
1,fasy,14.93291,56.648,60.152,49.14383561643836,129.0,1/1,overstory
1,fasy,14.581262,57.327,60.873000000000005,48.56175972927242,129.0,1/1,overstory
1,piab,36.216591,36.375,38.625,64.8,90.0,1/1,overstory
1,piab,33.313217,37.927,40.273,69.82097186700767,90.0,1/1,overstory
1,piab,37.607502,35.696,37.904,69.29347826086956,90.0,1/1,overstory
2,piab,310.84946,12.416,13.184,89.0625,20.0,2/1,overstory
2,piab,170.16801,16.781,17.819000000000003,77.45664739884393,20.0,2/1,overstory
2,piab,301.35849,12.61,13.39,88.46153846153845,20.0,2/1,overstory
2,piab,182.61533,16.198999999999998,17.201,77.24550898203594,20.0,2/1,overstory
2,piab,191.68797,15.811,16.789,79.14110429447852,20.0,2/1,overstory
2,piab,541.28577,9.409,9.991,97.93814432989691,3.894389930143577,2/1,overstory
2,piab,201.45399,15.423,16.377000000000002,80.50314465408806,20.0,2/1,overstory
2,piab,217.56412,14.841,15.759,81.69934640522875,20.0,2/1,overstory
2,piab,259.84482,13.58,14.42,85.71428571428571,20.0,2/1,overstory
3,piab,50.363499,30.846,32.754000000000005,92.76729559748428,19.715515490921245,3/1,overstory
3,piab,33.656651,37.733,40.067,82.0051413881748,85.0,3/1,overstory
3,piab,25.489134,43.359,46.041,74.496644295302,85.0,3/1,overstory
3,piab,30.594955,39.57599999999999,42.024,79.41176470588236,85.0,3/1,overstory
3,piab,16.010757,54.708,58.092,63.47517730496454,85.0,3/1,overstory
3,piab,42.297153,33.659,35.74100000000001,88.18443804034581,41.63560027669292,3/1,overstory
3,piab,27.802418,41.516,44.084,76.86915887850468,85.0,3/1,overstory
3,piab,23.964495,44.717,47.483,72.88503253796095,85.0,3/1,overstory
3,piab,17.595661,52.18599999999999,55.414,65.05576208178438,85.0,3/1,overstory
3,piab,28.598629,40.934000000000005,43.466,77.48815165876778,85.0,3/1,overstory
3,piab,32.641933,38.315,40.685,81.0126582278481,85.0,3/1,overstory
3,piab,19.202406,49.955,53.045,66.40776699029128,85.0,3/1,overstory
3,piab,21.125507,47.627,50.573,69.65376782077394,85.0,3/1,overstory
3,piab,23.352659,45.299,48.101000000000006,72.1627408993576,85.0,3/1,overstory
3,piab,23.055492,45.59,48.41,71.91489361702126,85.0,3/1,overstory
4,piab,153.75433,17.654,18.746,68.68131868131869,29.0,4/1,overstory
4,piab,489.51929,9.893999999999998,10.506,66.66666666666667,28.0,4/1,understory
4,piab,398.85333,10.961,11.639,85.84070796460176,28.0,4/1,overstory
4,piab,283.63544,12.998,13.802,80.59701492537313,28.0,4/1,overstory
4,piab,301.35849,12.61,13.39,81.53846153846153,28.0,4/1,overstory
4,piab,509.29581,9.7,10.3,89.0,28.0,4/1,overstory
4,piab,816.04834,7.663,8.137,73.41772151898734,5.3661505556504006,4/1,understory
4,piab,71.979172,25.802,27.398000000000003,56.01503759398496,29.0,4/1,overstory
4,piab,242.23346,14.065,14.935,77.24137931034483,28.0,4/1,overstory
4,piab,66.85778,26.772,28.428,51.086956521739125,34.0,4/1,overstory
4,piab,135.32144,18.818,19.982,66.49484536082475,29.0,4/1,overstory
5,pisy,116.59435,20.273,21.527,77.51196172248804,17.82641434796853,5/1,overstory
5,piab,99.713333,21.922,23.278,87.61061946902655,43.0,5/1,overstory
5,pisy,45.381668,32.495,34.505,57.01492537313433,43.0,5/1,overstory
5,piab,157.19005,17.46,18.54,98.33333333333331,43.0,5/1,overstory
5,piab,217.56412,14.841,15.759,106.5359477124183,43.0,5/1,overstory
5,piab,117.71815,20.176,21.424000000000003,89.42307692307693,43.0,5/1,overstory
5,piab,142.57603,18.333,19.467,95.76719576719576,43.0,5/1,overstory
5,piab,118.85827,20.079,21.321,91.30434782608695,43.0,5/1,overstory
5,pisy,53.340023,29.973,31.827,60.517799352750814,43.0,5/1,overstory
6,acps,62.701855,27.645,29.355,62.10526315789473,35.0,6/1,overstory
6,fasy,88.419418,23.28,24.72,78.33333333333333,35.0,6/1,overstory
6,acps,31.049891,39.285,41.715,54.07407407407408,35.0,6/1,overstory
6,soau,33.656651,37.733,40.067,53.47043701799487,35.0,6/1,overstory
6,lade,14.532043,57.424,60.976000000000006,51.35135135135135,110.0,6/1,remnant
7,piab,20.785463,48.015,50.985,76.36363636363636,69.0,7/1,overstory
7,fasy,47.921993,31.622,33.578,100.0,69.0,7/1,overstory
7,piab,15.511752,55.581,59.019,64.22338568935427,69.0,7/1,overstory
7,piab,27.932793,41.419,43.981,79.15690866510538,69.0,7/1,overstory
7,piab,19.202406,49.955,53.045,69.51456310679612,69.0,7/1,overstory
7,fasy,29.429537,40.352,42.848000000000006,81.97115384615384,69.0,7/1,overstory
7,piab,18.834906,50.44,53.56,69.03846153846153,69.0,7/1,overstory
7,piab,27.416725,41.807,44.393,78.65429234338747,69.0,7/1,overstory
7,piab,18.619444,50.731,53.869,68.83365200764818,69.0,7/1,overstory
7,piab,23.860861,44.814,47.586000000000006,75.10822510822511,69.0,7/1,overstory
7,fasy,38.438583,35.308,37.492,91.48351648351648,69.0,7/1,overstory
7,piab,12.318226,62.371,66.229,56.45412130637636,69.0,7/1,overstory
8,piab,23.153913,45.493,48.307,66.09808102345416,130.0,8/1,overstory
8,piab,31.672428,38.897,41.303,71.82044887780549,55.0,8/1,overstory
8,piab,24.928333,43.844,46.556,65.7079646017699,55.0,8/1,overstory
8,piab,20.701736,48.112,51.088,61.49193548387096,130.0,8/1,overstory
8,pisy,6.6825404,84.681,89.919,45.246277205040094,145.0,8/1,overstory
8,piab,19.891573,49.082,52.118,61.6600790513834,130.0,8/1,overstory
8,pisy,10.483457,67.609,71.79100000000001,48.20659971305595,135.0,8/1,overstory
8,pisy,20.869701,47.918,50.882,64.37246963562754,130.0,8/1,overstory
8,fasy,28.598629,40.934000000000005,43.466,68.48341232227487,130.0,8/1,overstory
9,piab,76.512207,25.026,26.574,94.96124031007751,49.0,9/1,overstory
9,piab,78.94101,24.638,26.162,98.03149606299212,49.0,9/1,overstory
9,piab,128.60681,19.303,20.497,112.56281407035176,49.0,9/1,overstory
9,piab,90.67205,22.989,24.411,102.1097046413502,49.0,9/1,overstory
9,piab,70.382645,26.093,27.707,94.42379182156134,49.0,9/1,overstory
9,piab,194.0618,15.714,16.686,124.69135802469135,9.985523400365762,9/1,overstory
9,piab,55.473408,29.391,31.209000000000003,88.11881188118812,49.0,9/1,overstory
9,piab,106.18958,21.243,22.557,106.84931506849315,49.0,9/1,overstory
9,piab,139.60577,18.527,19.673,115.18324607329842,49.0,9/1,overstory
10,cabe,420.90564,10.67,11.33,94.54545454545456,14.0,10/1,overstory
10,piab,118.85827,20.079,21.321,63.76811594202898,5.389069527524455,10/1,overstory
10,piab,96.2752,22.31,23.69,56.086956521739125,19.0,10/1,overstory
10,fasy,256.17212,13.677,14.523,82.97872340425532,19.0,10/1,overstory
10,piab,42.297153,33.659,35.74100000000001,44.092219020172905,19.0,10/1,overstory
11,pisy,22.763962,45.88099999999999,48.719,69.76744186046511,122.0,11/1,overstory
11,piab,19.128052,50.052,53.148,64.53488372093022,122.0,11/1,overstory
11,piab,657.6651,8.536,9.064000000000002,78.4090909090909,20.0,11/1,understory
11,piab,86.249695,23.571,25.029,48.55967078189301,27.0,11/1,understory
